"date","season","year","month","day_of_week","weekend","holiday","temp_actual","temp_feel","humidity","windspeed","weather_cat","rides"
"2011-01-01","winter",2011,"Jan","Sat",TRUE,"no",57.3995246,64.72625,0.805833,10.749882,"categ2",654
"2011-01-03","winter",2011,"Jan","Mon",FALSE,"no",46.4916632,49.04645,0.437273,16.636703,"categ1",1229
"2011-01-04","winter",2011,"Jan","Tue",FALSE,"no",46.76,51.09098,0.590435,10.739832,"categ1",1454
"2011-01-05","winter",2011,"Jan","Wed",FALSE,"no",48.7494266,52.6343,0.436957,12.5223,"categ1",1518
"2011-01-07","winter",2011,"Jan","Fri",FALSE,"no",46.5033236,50.79551,0.498696,11.304642,"categ2",1362
"2011-01-08","winter",2011,"Jan","Sat",TRUE,"no",44.177,46.60286,0.535833,17.875868,"categ2",891
"2011-01-10","winter",2011,"Jan","Mon",FALSE,"no",43.1314754,45.57992,0.482917,14.958889,"categ1",1280
"2011-01-11","winter",2011,"Jan","Tue",FALSE,"no",44.4789158,49.23176,0.686364,8.182844,"categ2",1220
"2011-01-12","winter",2011,"Jan","Wed",FALSE,"no",44.7472526,46.44257,0.599545,20.410009,"categ1",1137
"2011-01-13","winter",2011,"Jan","Thu",FALSE,"no",44.177,45.57947,0.470417,20.167,"categ1",1368
"2011-01-14","winter",2011,"Jan","Fri",FALSE,"no",43.872206,48.95717,0.537826,8.478716,"categ1",1367
"2011-01-15","winter",2011,"Jan","Sat",TRUE,"no",49.2199754,54.33008,0.49875,10.583521,"categ2",1026
"2011-01-16","winter",2011,"Jan","Sun",TRUE,"no",49.0970246,53.07953,0.48375,12.625011,"categ1",953
"2011-01-17","winter",2011,"Jan","Mon",FALSE,"yes",44.9764754,47.90939,0.5375,12.999139,"categ2",883
"2011-01-18","winter",2011,"Jan","Tue",FALSE,"no",47.9900246,52.90997,0.861667,9.833925,"categ2",674
"2011-01-19","winter",2011,"Jan","Wed",FALSE,"no",53.5624412,58.85798,0.741739,13.957239,"categ2",1572
"2011-01-20","winter",2011,"Jan","Thu",FALSE,"no",51.3110246,54.9545,0.538333,13.125568,"categ2",1844
"2011-01-21","winter",2011,"Jan","Fri",FALSE,"no",45.0995,46.20497,0.457083,23.667214,"categ1",1468
"2011-01-25","winter",2011,"Jan","Tue",FALSE,"no",48.4926764,53.10734,0.616957,8.696332,"categ2",1799
"2011-01-26","winter",2011,"Jan","Wed",FALSE,"no",48.0515,50.324,0.8625,19.68795,"categ3",472
"2011-01-27","winter",2011,"Jan","Thu",FALSE,"no",46.391,51.773,0.6875,7.627079,"categ1",416
"2011-01-29","winter",2011,"Jan","Sat",TRUE,"no",46.5033236,51.09134,0.651739,9.739455,"categ1",975
"2011-01-30","winter",2011,"Jan","Sun",TRUE,"no",47.9793236,54.52898,0.722174,4.9568342,"categ1",956
"2011-01-31","winter",2011,"Jan","Mon",FALSE,"no",45.3454754,48.7625,0.60375,12.541864,"categ2",1459
"2011-02-01","winter",2011,"Feb","Tue",FALSE,"no",46.1824412,53.1077,0.829565,3.565271,"categ2",1313
"2011-02-02","winter",2011,"Feb","Wed",FALSE,"no",51.188,54.89753,0.775417,17.708636,"categ2",1454
"2011-02-03","winter",2011,"Feb","Thu",FALSE,"no",45.7974266,48.00902,0.437826,18.609384,"categ1",1489
"2011-02-05","winter",2011,"Feb","Sat",TRUE,"no",49.2199754,53.87522,0.929167,10.792293,"categ2",905
"2011-02-06","winter",2011,"Feb","Sun",TRUE,"no",53.0944754,58.25039,0.568333,9.5006,"categ1",1269
"2011-02-07","winter",2011,"Feb","Mon",FALSE,"no",52.0490246,59.32922,0.738333,3.0423561,"categ1",1592
"2011-02-08","winter",2011,"Feb","Tue",FALSE,"no",48.2974754,49.84214,0.537917,24.25065,"categ1",1466
"2011-02-10","winter",2011,"Feb","Thu",FALSE,"no",42.6528824,45.45932,0.437391,14.869645,"categ1",1491
"2011-02-11","winter",2011,"Feb","Fri",FALSE,"no",45.9549158,51.21581,0.506364,7.27285,"categ1",1597
"2011-02-12","winter",2011,"Feb","Sat",TRUE,"no",48.4205,52.96586,0.544167,13.625589,"categ1",1184
"2011-02-13","winter",2011,"Feb","Sun",TRUE,"no",55.3593236,61.17017,0.457391,17.479161,"categ1",1192
"2011-02-14","winter",2011,"Feb","Mon",FALSE,"no",62.627,67.8515,0.375833,27.999836,"categ1",1705
"2011-02-15","winter",2011,"Feb","Tue",FALSE,"no",51.6372206,54.88466,0.314348,19.522058,"categ1",1675
"2011-02-16","winter",2011,"Feb","Wed",FALSE,"no",55.4876618,60.458,0.423478,16.869997,"categ1",1897
"2011-02-17","winter",2011,"Feb","Thu",FALSE,"no",64.1644754,70.57922,0.505,15.416968,"categ1",2216
"2011-02-18","winter",2011,"Feb","Fri",FALSE,"no",70.4990246,78.07847,0.516667,17.749975,"categ1",2348
"2011-02-19","winter",2011,"Feb","Sat",TRUE,"no",61.4585246,67.22636,0.187917,34.000021,"categ1",1103
"2011-02-20","winter",2011,"Feb","Sun",TRUE,"no",53.0490146,56.9597,0.407826,14.956745,"categ1",1173
"2011-02-21","winter",2011,"Feb","Mon",FALSE,"yes",54.3859754,57.56675,0.605,20.625682,"categ2",912
"2011-02-22","winter",2011,"Feb","Tue",FALSE,"no",45.4479836,48.74297,0.577778,13.110761,"categ1",1376
"2011-02-23","winter",2011,"Feb","Wed",FALSE,"no",48.3643382,54.11453,0.423043,6.305571,"categ1",1778
"2011-02-24","winter",2011,"Feb","Thu",FALSE,"no",53.8191176,58.02719,0.697391,16.783232,"categ2",1707
"2011-02-25","winter",2011,"Feb","Fri",FALSE,"no",58.8888824,63.54149,0.712174,23.218113,"categ2",1341
"2011-02-26","winter",2011,"Feb","Sat",TRUE,"no",52.8485,57.39728,0.537917,12.500257,"categ1",1545
"2011-02-27","winter",2011,"Feb","Sun",TRUE,"no",57.3486764,63.59981,0.68,8.391616,"categ1",1708
"2011-03-01","winter",2011,"Mar","Tue",FALSE,"no",51.6800246,55.74911,0.535,14.500475,"categ1",1714
"2011-03-03","winter",2011,"Mar","Thu",FALSE,"no",46.6369754,50.01197,0.318333,15.125518,"categ1",1562
"2011-03-04","winter",2011,"Mar","Fri",FALSE,"no",51.3110246,55.01111,0.610417,13.624182,"categ2",1730
"2011-03-05","winter",2011,"Mar","Sat",TRUE,"no",60.3515246,66.09011,0.789167,16.875357,"categ2",1437
"2011-03-07","winter",2011,"Mar","Mon",FALSE,"no",51.3163382,53.46149,0.551304,22.870584,"categ1",1628
"2011-03-08","winter",2011,"Mar","Tue",FALSE,"no",53.5865,59.216,0.420833,8.08355,"categ1",1817
"2011-03-09","winter",2011,"Mar","Wed",FALSE,"no",53.8324754,57.79472,0.775417,14.75005,"categ2",1700
"2011-03-10","winter",2011,"Mar","Thu",FALSE,"no",60.7149158,66.71012,0,17.545759,"categ3",577
"2011-03-11","winter",2011,"Mar","Fri",FALSE,"no",55.3593236,59.45,0.649565,15.60899,"categ2",1730
"2011-03-12","winter",2011,"Mar","Sat",TRUE,"no",56.2925246,61.3175,0.594583,14.791925,"categ1",1408
"2011-03-13","winter",2011,"Mar","Sun",TRUE,"no",60.3648824,66.20819,0.527391,18.130468,"categ1",1435
"2011-03-14","winter",2011,"Mar","Mon",FALSE,"no",56.0010146,61.88,0.496957,9.174042,"categ1",1687
"2011-03-15","winter",2011,"Mar","Tue",FALSE,"no",55.4234558,60.63602,0.655652,12.348703,"categ2",1767
"2011-03-16","winter",2011,"Mar","Wed",FALSE,"no",58.9530146,65.0237,0.776522,13.608839,"categ2",1871
"2011-03-17","winter",2011,"Mar","Thu",FALSE,"no",62.627,68.92997,0.602917,14.041793,"categ1",2320
"2011-03-18","winter",2011,"Mar","Fri",FALSE,"no",71.852,79.43081,0.525217,15.478139,"categ1",2355
"2011-03-19","winter",2011,"Mar","Sat",TRUE,"no",66.8705,73.98725,0.379167,24.667189,"categ1",1693
"2011-03-20","winter",2011,"Mar","Sun",TRUE,"no",56.5385,61.3175,0.47375,13.917307,"categ1",1424
"2011-03-21","spring",2011,"Mar","Mon",FALSE,"no",63.766103,68.87615,0.737391,19.348461,"categ2",1676
"2011-03-23","spring",2011,"Mar","Wed",FALSE,"no",57.6054266,62.41451,0.839565,15.695487,"categ2",1918
"2011-03-24","spring",2011,"Mar","Thu",FALSE,"no",53.033,56.37497,0.805833,16.333729,"categ2",1699
"2011-03-26","spring",2011,"Mar","Sat",TRUE,"no",51.6184754,55.18139,0.394167,14.041257,"categ1",1515
"2011-03-27","spring",2011,"Mar","Sun",TRUE,"no",50.6745734,54.53051,0.493913,12.3481,"categ2",1221
"2011-03-28","spring",2011,"Mar","Mon",FALSE,"no",51.5088824,55.18166,0.302174,14.217668,"categ1",1806
"2011-03-29","spring",2011,"Mar","Tue",FALSE,"no",54.3245,58.36172,0.314167,15.208732,"categ1",2108
"2011-03-30","spring",2011,"Mar","Wed",FALSE,"no",54.14,58.7615,0.646667,11.583496,"categ2",1368
"2011-03-31","spring",2011,"Mar","Thu",FALSE,"no",51.8029754,55.18175,0.918333,14.582282,"categ3",1506
"2011-04-01","spring",2011,"Apr","Fri",FALSE,"no",54.14,57.51086,0.68625,17.333436,"categ2",1920
"2011-04-02","spring",2011,"Apr","Sat",TRUE,"no",55.247,60.40733,0.65375,13.208782,"categ2",1354
